"year","date_yyyy.mm.dd","survey","team","species","sex","activity_type","km_marker","beach_zone","gpse","gpsn","gps_accuracy_m","nest_id","egg_chamber_triangulated","direction_nesting","north_m","centre_m","south_m","htl_m","triangulated_by","activity_comments","record_type","encounter_activity","encounter_time_hh.mm.ss","turtle_id","right_tag","left_tag","removed_right_tag","removed_left_tag","right_oth_y_n","right_otn_y_n","left_oth_y_n","left_otn_y_n","right_tagger","left_tagger","tagging_comments","ccl_min1_cm","ccl_min2_cm","ccl_min3_cm","ccl_min_avg_cm","ccl_min_measured_by","ccw_max1_cm","ccw_max2_cm","ccw_max3_cm","ccw_max_avg_cm","ccw_max_measured_by","x1","x2","x3","x4","x5","x6","x7","x8","caudal_projection_complete","fibropapillomas","body_check_comments","number_yolked_eggs","number_yolkless_eggs","number_total_eggs","eggs_counted_by","egg_depth_cm","nest_depth_cm","relocated_km_marker","relocated_beach_zone","relocated_north_m","relocated_centre_m","relocated_south_m","relocated_htl_m","relocated_chamber_depth_cm","relocated_chamber_width_cm","relocated_gpse","relocated_gpsn","relocated_comments","data_comments","julian_time"
2006,"2006-04-21","AM",NA,"DC","F","NST",23,"O",222075,1176341,NA,"NTRI06025",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13259
2006,"2006-04-23","PM1",NA,"CM","F","NST",3,"V",223595,1172587,NA,"NTRI06026",FALSE,NA,NA,NA,NA,NA,NA,"nest found the next day at night survey so 1 day old.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13261
2006,"2006-04-23","PM1",NA,"CM","F","HLF",9,NA,223157,1173667,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"halfmoon at water edge she stopped digging when water came up while she was digging the egg chamber.",NA,NA,"01:53:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13261
2006,"2006-04-24","AM",NA,"DC","F","NST",18,"O",222456,1175354,NA,"NTRI06027",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13262
2006,"2006-04-25","PM1",NA,"DC","F","NST",7,"O",223270,1173389,NA,"NTRI06028",FALSE,"W",NA,NA,NA,NA,NA,NA,"REC","Selecting nest site","23:35:00","06-0013","VA8222","VA8223",NA,NA,NA,NA,NA,NA,"KF","KF",NA,154.5,154.5,154.5,154.5,NA,110,110.2,110,110.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 6 8 - bite marks",71,41,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13263
2006,"2006-04-26","PM1",NA,"EI","F","NST",16,"O",222572,1175083,NA,"NTRI06029",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:09:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13264
2006,"2006-04-28","AM",NA,"DC","F","HLF",17,NA,222498,1175262,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13266
2006,"2006-04-28","PM1",NA,"DC","F","NST",3,"O",223625,1172550,NA,"NTRI06030",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13266
2006,"2006-04-28","PM1",NA,"DC","F","HLF",13,NA,222841,1174410,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00:18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13266
2006,"2006-04-28","PM1",NA,"DC","F","NST",8,"O",223199,1173559,NA,"NTRI06031",FALSE,"NW",NA,NA,NA,NA,NA,NA,"REC","Oviposition","00:50:00","06-0014","VA8224","VA8226",NA,NA,NA,NA,NA,NA,"AB","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"2 4 6 8 - bite marks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13266
2006,"2006-04-30","PM1",NA,"DC","F","HLF",6,NA,223387,1173170,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13268
2006,"2006-05-01","PM1",NA,"DC","F","NST",4,"O",223542,1172744,NA,"NTRI06032",FALSE,"NW",NA,NA,NA,NA,NA,NA,"REX","Oviposition","01:50:00","06-0015","VA8228","63064","63062",NA,1,0,0,0,NA,"KF",NA,145.7,145.3,145.8,145.6,NA,108,108,108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 6 - bite marks.
. two minutes ready for oviposition but did not lay eggs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13269
