year,date_yyyy.mm.dd,survey,team,species,sex,activity_type,km_marker,beach_zone,gpse,gpsn,gps_accuracy_m,nest_id,egg_chamber_triangulated,direction_nesting,north_m,centre_m,south_m,htl_m,triangulated_by,activity_comments,record_type,encounter_activity,encounter_time_hh.mm.ss,turtle_id,right_tag,left_tag,removed_right_tag,removed_left_tag,right_oth_y_n,right_otn_y_n,left_oth_y_n,left_otn_y_n,right_tagger,left_tagger,tagging_comments,ccl_min1_cm,ccl_min2_cm,ccl_min3_cm,ccl_min_avg_cm,ccl_min_measured_by,ccw_max1_cm,ccw_max2_cm,ccw_max3_cm,ccw_max_avg_cm,ccw_max_measured_by,x1,x2,x3,x4,x5,x6,x7,x8,caudal_projection_complete,fibropapillomas,body_check_comments,number_yolked_eggs,number_yolkless_eggs,number_total_eggs,eggs_counted_by,egg_depth_cm,nest_depth_cm,relocated_km_marker,relocated_beach_zone,relocated_north_m,relocated_centre_m,relocated_south_m,relocated_htl_m,relocated_chamber_depth_cm,relocated_chamber_width_cm,relocated_gpse,relocated_gpsn,relocated_comments,data_comments,julian_time
2006,2006-04-28,PM1,,DC,F,NST,3,O,223625,1172550,,NTRI06030,FALSE,,,,,,,NA,,,02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13266
2006,2006-04-28,PM1,,DC,F,HLF,13,,222841,1174410,,,FALSE,,,,,,,NA,,,00:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13266
2006,2006-04-28,PM1,,DC,F,NST,8,O,223199,1173559,,NTRI06031,FALSE,NW,,,,,,NA,REC,Oviposition,00:50:00,06-0014,VA8224,VA8226,,,,,,,AB,AB,,,,,,,,,,,,,,,,,,,,FALSE,,2 4 6 8 - bite marks,,,,,,,,,,,,,,,,,,,13266
2006,2006-04-30,PM1,,DC,F,HLF,6,,223387,1173170,,,FALSE,,,,,,,NA,,,21:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13268
2006,2006-05-01,PM1,,DC,F,NST,4,O,223542,1172744,,NTRI06032,FALSE,NW,,,,,,NA,REX,Oviposition,01:50:00,06-0015,VA8228,63064,63062,,1,0,0,0,,KF,,145.7,145.3,145.8,145.6,,108,108,108,108,,,,,,,,,,TRUE,,"2 6 - bite marks.. two minutes ready for oviposition but did not lay eggs.",,,,,,,,,,,,,,,,,,,13269
2006,2006-05-02,PM1,,DC,F,HLF,14,,222724,1174716,,,FALSE,,,,,,,turtle was seen close to the seen did not check tags.,,,01:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13270
2006,2006-05-03,PM1,,DC,F,HLF,7,,223270,1173389,,,FALSE,,,,,,,NA,,,21:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13271
2006,2006-05-03,PM1,,CM,F,HLF,8,,223199,1173544,,,FALSE,,,,,,,NA,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13271
2006,2006-05-03,AM,,CM,F,HLF,24,,,,,,FALSE,,,,,,,at laguna quatro no gis position.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13271
2006,2006-05-04,PM1,,CM,F,NST,10,B,223013,1173945,,NTRI06033,FALSE,SW,,,,,,NA,REC,Digging body pit,00:57:00,06-0016,CP0004,CP0003,,,,,,,AB,AB,,103.7,103.2,103.3,103.4,,93.7,93.8,93.8,93.77,,,,,,,,,,,,"2 4 - cut. 6 - balanos",95,,,,,,,,,,,,,,,,,,13272
2006,2006-05-04,PM1,,CM,F,HLF,12,,222883,1174345,,,FALSE,,,,,,,NA,,,00:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13272
2006,2006-05-04,PM1,,CM,F,NST,18,B,222411,1175459,,NTRI06034,FALSE,W,,,,,,NA,REC,Selecting nest site,21:55:00,06-0017,CP0002,CP0001,,,,,,,AB,AB,,99.9,100,100,99.97,,94.5,94.5,94.5,94.5,,,,,,,,,,,,"2 - 2 bite marks. 6 - 1 bite mark",,,,,,,,,,,,,,,,,,,13272
2006,2006-05-05,PM1,,DC,F,NST,15,O,222671,1174836,,NTRI06035,FALSE,W,,,,,,NA,REX,Oviposition,23:15:00,06-0018,VA4059,VA4060,,,,,,,,,,139.7,139.6,139.5,139.6,,102,102,102,102,,,,,,,,,,,,"4 - cut and notch scarring and missing edge. 6 - missing part",,,,,,,,,,,,,,,,,,,13273
2006,2006-05-06,PM1,,CM,F,NST,17,V,222477,1175271,,NTRI06036,FALSE,W,,,,,,NA,REX,Digging egg chamber,22:05:00,06-0019,95028,CP0005,,,0,0,0,1,,AB,,90.9,90.8,90.9,90.87,,78,78,78,78,,,,,,,,,,,,"4 - 2 big cuts. 8 - little cut",132,,,,,,,,,,,,,,,,,,13274
2006,2006-05-08,AM,,DC,F,NST,14,O,222665,1174833,,NTRI06037,FALSE,,,,,,,50m af 1 5/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13276
2006,2006-05-10,PM1,,DC,F,NST,10,O,223026,1173982,,CP06001,FALSE,W,,,,,,NA,REC,Emerging from sea,01:45:00,06-0020,VA8231,VA8232,,,,,,,BL,BL,va8229 and va8230 removed because incorrectly applied. one of those lost.,146.9,148.5,147.5,147.63,,104.8,104.8,104.7,104.77,,,,,,,,,,TRUE,,2 4 6 8 - small bite marks,69,24,93,,,,,,,,,,,,,,,,13278
